Source,Target
9,9
182,182
190,190
313,313
335,335
348,348
348,348
350,350
350,350
361,364
432,432
432,432
435,435
464,464
469,469
469,469
565,565
585,585
644,644
645,645
650,650
650,650
661,661
663,663
663,663
664,693
664,664
664,664
665,665
665,665
666,666
666,666
667,667
667,667
668,668
668,668
671,671
671,671
672,672
672,672
672,713
673,673
673,673
674,674
674,674
675,675
675,675
676,676
676,676
677,677
677,677
678,678
678,678
679,679
679,679
681,681
693,693
693,693
693,664
694,694
694,694
699,699
702,702
703,703
713,672
713,713
713,713
714,714
714,714
715,715
715,715
777,777
777,777
791,791
791,791
811,811
823,823
872,872
872,872
921,921
921,76754
921,921
970,970
976,976
977,977
992,992
992,992
1004,1004
1011,1011
1041,1041
1042,1042
1044,1044
1044,1044
1083,1083
1084,1084
1106,1106
1106,1106
1148,1194
1148,1148
1148,1153
1148,1154
1148,1152
1148,1206
1148,1151
1148,1193
1148,1210
1148,1209
1148,1194
1148,1148
1148,1154
1148,1153
1148,1152
1148,1206
1148,1151
1148,1193
1148,1210
1148,1194
1148,1148
1148,1154
1148,1153
1148,1152
1148,1206
1148,1151
1148,1193
1148,1210
1151,1153
1151,1194
1151,1148
1151,1153
1151,1154
1151,1152
1151,1206
1151,1151
1151,1193
1151,1210
1151,1209
1151,1194
1151,1148
1151,1154
1151,1153
1151,1152
1151,1206
1151,1151
1151,1193
1151,1210
1151,1194
1151,1148
1151,1154
1151,1153
1151,1152
1151,1206
1151,1151
1151,1193
1151,1210
1152,1154
1152,1210
1152,1209
1152,1194
1152,1148
1152,1153
1152,1154
1152,1152
1152,1206
1152,1151
1152,1193
1152,1210
1152,1209
1152,1194
1152,1148
1152,1154
1152,1153
1152,1152
1152,1206
1152,1151
1152,1193
1152,1210
1152,1194
1152,1148
1152,1154
1152,1153
1152,1152
1152,1206
1152,1151
1152,1193
1152,1210
1153,1154
1153,1151
1153,1194
1153,1148
1153,1153
1153,1154
1153,1152
1153,1206
1153,1151
1153,1193
1153,1210
1153,1209
1153,1194
1153,1148
1153,1154
1153,1153
1153,1152
1153,1206
1153,1151
1153,1193
1153,1210
1153,1194
1153,1148
1153,1154
1153,1153
1153,1152
1153,1206
1153,1151
1153,1193
1153,1210
1154,1210
1154,1194
1154,1148
1154,1153
1154,1154
1154,1152
1154,1206
1154,1151
1154,1193
1154,1210
1154,1209
1154,1194
1154,1148
1154,1154
1154,1153
1154,1152
1154,1206
1154,1151
1154,1193
1154,1210
1154,1194
1154,1148
1154,1154
1154,1153
1154,1152
1154,1206
1154,1151
1154,1193
1154,1210
1192,1192
1193,1194
1193,1148
1193,1153
1193,1154
1193,1152
1193,1206
1193,1151
1193,1193
1193,1210
1193,1209
1193,1194
1193,1148
1193,1154
1193,1153
1193,1152
1193,1206
1193,1151
1193,1193
1193,1210
1193,1194
1193,1148
1193,1154
1193,1153
1193,1152
1193,1206
1193,1151
1193,1193
1193,1210
1194,1194
1194,1148
1194,1153
1194,1154
1194,1152
1194,1206
1194,1151
1194,1193
1194,1210
1194,1209
1194,1194
1194,1148
1194,1154
1194,1153
1194,1152
1194,1206
1194,1151
1194,1193
1194,1210
1194,1194
1194,1148
1194,1154
1194,1153
1194,1152
1194,1206
1194,1151
1194,1193
1194,1210
1206,1194
1206,1148
1206,1153
1206,1154
1206,1152
1206,1206
1206,1151
1206,1193
1206,1210
1206,1209
1206,1194
1206,1148
1206,1154
1206,1153
1206,1152
1206,1206
1206,1151
1206,1193
1206,1210
1206,1194
1206,1148
1206,1154
1206,1153
1206,1152
1206,1206
1206,1151
1206,1193
1206,1210
1209,1194
1209,1148
1209,1153
1209,1154
1209,1152
1209,1206
1209,1151
1209,1193
1209,1210
1209,1209
1209,1194
1209,1148
1209,1154
1209,1153
1209,1152
1209,1206
1209,1151
1209,1193
1209,1210
1209,1194
1209,1148
1209,1154
1209,1153
1209,1152
1209,1206
1209,1151
1209,1193
1209,1210
1210,1154
1210,1194
1210,1148
1210,1153
1210,1154
1210,1152
1210,1206
1210,1151
1210,1193
1210,1210
1210,1209
1210,1194
1210,1148
1210,1154
1210,1153
1210,1152
1210,1206
1210,1151
1210,1193
1210,1210
1210,1194
1210,1148
1210,1154
1210,1153
1210,1152
1210,1206
1210,1151
1210,1193
1210,1210
1212,1212
1214,1214
1252,1252
1253,1253
1258,1258
1258,1258
1260,1260
1281,1281
1281,1281
1347,1347
1350,1351
1351,1364
1364,411
1431,1431
1431,1431
1467,1467
1472,1472
1472,1472
1486,12455
1487,1487
1487,1487
1530,1530
1530,1530
1535,1535
1535,1535
1619,1619
1619,1619
1648,1648
1648,1648
1670,1670
1678,1679
1679,1678
1699,19722
1708,19722
1780,1780
1780,1780
1782,1782
1782,1782
1786,1786
1786,1786
1818,1818
1834,1834
1860,1860
1861,1861
1864,1864
1864,1864
1866,1866
1866,1866
1868,1868
1868,1868
1874,1874
1903,1903
1905,1905
1935,1935
1953,80392
1955,1955
1955,1970
1955,1952
1981,1981
1981,1981
1989,1989
1989,1989
2166,60125
2175,2175
2189,2189
2189,2189
2248,2248
2368,2368
2369,2370
2407,2407
2407,2407
2418,2418
2418,2418
2419,2419
2419,2419
2428,2428
2428,2428
2428,2431
2428,2429
2429,2429
2429,2429
2429,2431
2429,2431
2429,2428
2430,2430
2430,2430
2431,2431
2431,2431
2431,2429
2431,2429
2431,2428
2432,2432
2432,2432
2432,2440
2432,2440
2437,2437
2437,2437
2438,2438
2438,2438
2439,2439
2439,2439
2440,2440
2440,2440
2440,2432
2440,2432
2443,2443
2443,2443
2443,2444
2443,2444
2444,2444
2444,2444
2472,2472
2528,60125
2528,60125
2539,2539
2552,2552
2605,2605
2634,2634
2635,2635
2643,2643
2653,2653
2653,2653
2663,2663
2681,2681
2682,2682
2683,2683
2684,2684
2701,2701
2701,2701
2794,2794
2808,2808
2849,2849
2849,2849
2863,2864
2922,2922
2926,2926
2926,2926
2928,2928
2928,2928
2958,2958
2958,2958
2961,2961
2975,2975
3018,3018
3020,3020
3020,3020
3065,3065
3070,3070
3140,818
3146,3146
3146,3146
3177,3177
3179,3179
3203,3203
3203,3203
3218,3218
3218,3218
3220,3220
3220,3220
3335,3335
3338,3338
3341,3341
3349,3349
3419,3419
3421,3421
3421,3421
3431,19722
3432,19722
3433,19722
3434,19722
3436,19722
3439,19722
3456,3456
3456,3456
3458,3458
3459,3459
3468,3468
3688,3688
3688,3688
3703,3703
3721,3721
3722,3722
3726,3726
3752,3752
3807,3807
3807,3807
3817,3817
3817,3817
3863,3863
3869,3869
3869,3869
3880,3880
3891,3891
3891,3891
3894,3894
3894,3894
3904,3904
3919,3919
3919,3919
3945,3945
3946,3946
3947,3947
3948,3948
3990,3990
4025,4025
4025,4025
4026,8460
4364,4364
4364,4364
4462,4462
4487,4487
4497,4497
4497,4497
4616,4616
4616,4616
4630,4630
4630,4630
4634,4634
