Source,Timestamp,Quote,Target
'http://networking-forum.com/viewtopic.php?p=55777#55777','2009-02-01 02:12:32','',''
'http://karlanakulseth.com/blog/?p=935','2009-02-01 02:12:32','','http://twitip.com/make-a-tweet-plan-to-get-the-most-from-twitter http://bravenewcode.com/wordtwit http://twuffer.com http://tweetlater.com http://tweetlater.com http://twuffer.com http://budurl.com http://twitter.com/hawaiianbrat96/statuses/1165013170 http://twitter.com/hawaiianbrat96/statuses/1164948210'
'http://soolasestmagusani.blogspot.com/2009/01/munarull-suitsulohega.html','2009-02-01 02:12:34','','http://1.bp.blogspot.com/_ow9qo4d6stq/syssvsgtxoi/aaaaaaaaais/f2akvpyyiuy/s1600-h/jaanuar+2009+531.jpg'
'http://bbs.21our.com/viewthread.php?tid=1570140','2009-02-01 02:12:35','','http://bbs.21our.com/tag.php?name=%be%ad%bc%c3'
'http://bbs.21our.com/viewthread.php?tid=1570144','2009-02-01 02:12:35','','http://bbs.21our.com/tag.php?name=%cd%b6%d7%ca'
'http://bbs.21our.com/viewthread.php?tid=1570147','2009-02-01 02:12:35','','http://bbs.21our.com/tag.php?name=%b8%db%b9%c9'
'http://bbs.21our.com/viewthread.php?tid=1570138','2009-02-01 02:12:35','','http://bbs.21our.com/tag.php?name=%b9%c9%c6%b1'
'http://boston.com/news/local/rhode_island/articles/2009/01/31/mass_daily?rss_id=boston.com+--+latest+news','2009-02-01 02:12:41','massachusetts daily lottery','http://boards.boston.com/javascript:openwindow( http://boston.com/news/local/rhode_island/articles/2009/01/31/mass_daily?mode=pf http://boards.boston.com/# http://boston.com/news/local/rhode_island/?camp=related-articles:on:link:article-page:more'
'http://boston.com/news/local/vermont/articles/2009/01/31/megabucks?rss_id=boston.com+--+latest+news','2009-02-01 02:12:41','','http://boston.com/news/javascript:openwindow( http://boston.com/news/local/vermont/articles/2009/01/31/megabucks?mode=pf http://boston.com/news/# http://boston.com/news/local/vermont/?camp=related-articles:on:link:article-page:more'
'http://boston.com/news/nation/articles/2009/01/31/army_beats_bucknell_76_65?rss_id=boston.com+--+latest+news','2009-02-01 02:12:41','','http://boards.boston.com/javascript:openwindow( http://boston.com/news/nation/articles/2009/01/31/army_beats_bucknell_76_65?mode=pf http://boards.boston.com/# http://boston.com/news/nation/?camp=related-articles:on:link:article-page:more'
'http://boston.com/news/local/new_hampshire/articles/2009/01/31/megabucks?rss_id=boston.com+--+latest+news','2009-02-01 02:12:41','','http://boards.boston.com/javascript:openwindow( http://boston.com/news/local/new_hampshire/articles/2009/01/31/megabucks?mode=pf http://boards.boston.com/# http://boston.com/news/local/new_hampshire/?camp=related-articles:on:link:article-page:more'
'http://boston.com/news/world/asia/articles/2009/01/31/d962frto1?rss_id=boston.com+--+latest+news','2009-02-01 02:12:41','','http://boards.boston.com/javascript:openwindow( http://boston.com/news/world/asia/articles/2009/01/31/d962frto1?mode=pf http://boards.boston.com/# http://boston.com/news/world/asia/?camp=related-articles:on:link:article-page:more'
'http://boston.com/news/world/asia/articles/2009/01/31/15_dead_17_injured_in_bar_fire_in_southern_china?rss_id=boston.com+--+latest+news','2009-02-01 02:12:41','set the ceiling on fire and the entire place was soon engulfed in flames','http://boards.boston.com/javascript:openwindow( http://boston.com/news/world/asia/articles/2009/01/31/15_dead_17_injured_in_bar_fire_in_southern_china?mode=pf http://boards.boston.com/# http://boston.com/news/world/asia/?camp=related-articles:on:link:article-page:more'
'http://boston.com/news/nation/articles/2009/01/31/us_military_deaths_in_iraq_war_at_4236?rss_id=boston.com+--+latest+news','2009-02-01 02:12:41','','http://boston.com/news/javascript:openwindow( http://boston.com/news/nation/articles/2009/01/31/us_military_deaths_in_iraq_war_at_4236?mode=pf http://boston.com/news/# http://defenselink.mil/news http://boston.com/news/nation/?camp=related-articles:on:link:article-page:mor'

